Pair,Deviation,Heartbeat,Dec,Proxy,Enabled
SWAP / ETH,2%,24h,18,0xffa4Bb3a24B60C0262DBAaD60d77a3c3fa6173e8,N
SXP / USD,1%,24h,8,0xFb0CfD6c19e25DB4a08D8a204a387cEa48Cc138f,N
TOMO / USD,2%,24h,8,0x3d44925a8E9F9DFd90390E58e92Ec16c996A331b,N
TRIBE / ETH,2%,24h,18,0x84a24deCA415Acc0c395872a9e6a63E27D6225c8,N
TRU / USD,2%,24h,8,0x26929b85fE284EeAB939831002e1928183a10fb1,N
TRX / USD,1%,24h,8,0xacD0D1A29759CC01E8D925371B72cb2b5610EA25,N
TRY / USD,0.5%,24h,8,0xB09fC5fD3f11Cf9eb5E1C5Dba43114e3C9f477b5,N
TSLA / USD,0.5%,24h,8,0x1ceDaaB50936881B3e449e47e40A2cDAF5576A4a,N
TUSD / ETH,1%,24h,18,0x3886BA987236181D98F2401c507Fb8BeA7871dF2,N
TUSD Reserves,5%,24h,8,0x478f4c42b877c697C4b19E396865D4D533EcB6ea,N
TUSD Supply,5%,24h,8,0x807b029DD462D5d9B9DB45dff90D3414013B969e,N
Total Marketcap / USD,1%,24h,8,0xEC8761a0A73c34329CA5B1D3Dc7eD07F30e836e2,N
UMA / ETH,2%,24h,18,0xf817B69EA583CAFF291E287CaE00Ea329d22765C,N
UNI / ETH,2%,24h,18,0xD6aA3D25116d8dA79Ea0246c4826EB951872e02e,N
UNI / USD,1%,1h,8,0x553303d460EE0afB37EdFf9bE42922D8FF63220e,Y
USDC / ETH,1%,24h,18,0x986b5E1e1755e3C2440e960477f25201B0a8bbD4,N
USDC / USD,0.5%,24h,8,0x8fFfFfd4AfB6115b954Bd326cbe7B4BA576818f6,N
USDK / USD,1%,24h,8,0xfAC81Ea9Dd29D8E9b212acd6edBEb6dE38Cb43Af,N
USDN / USD,0.5%,24h,8,0x7a8544894F7FD0C69cFcBE2b4b2E277B0b9a4355,N
USDT / ETH,1%,24h,18,0xEe9F2375b4bdF6387aa8265dD4FB8F16512A1d46,N
USDT / USD,0.5%,24h,8,0x3E7d1eAB13ad0104d2750B8863b489D65364e32D,N
UST / ETH,2%,24h,18,0xa20623070413d42a5C01Db2c8111640DD7A5A03a,N
VSP / ETH,2%,24h,18,0x99cd3337Aa0da455845d7aFE7781341fDAE4D2EF,N
VXX / USD,10%,24h,8,0xC18F2a0C166A091fcD5E2051EFEFD63c4f4A27E9,N
Vesper Finance TVL,2%,24h,8,0x13e9cF2Cc0577b0D831878055dA0629F98D194c2,N
WAVES / USD,2%,24h,8,0x9a79fdCd0E326dF6Fa34EA13c05d3106610798E9,N
WING / USD,2%,24h,8,0x134fE0a225Fb8e6683617C13cEB6B3319fB4fb82,N
WNXM / ETH,2%,24h,18,0xe5Dc0A609Ab8bCF15d3f35cFaa1Ff40f521173Ea,N
WOM / ETH,2%,24h,18,0xcEBD2026d3C99F2a7CE028acf372C154aB4638a9,N
WOO / ETH,2%,24h,18,0x926a93B44a887076eDd00257E5D42fafea313363,N
WTI / USD,10%,24h,8,0xf3584F4dd3b467e73C2339EfD008665a70A4185c,N
XAG / USD,0.3%,24h,8,0x379589227b15F1a12195D3f2d90bBc9F31f95235,N
XAU / USD,0.3%,24h,8,0x214eD9Da11D2fbe465a6fc601a91E62EbEc1a0D6,N
XHV / USD,2%,24h,8,0xeccBeEd9691d8521385259AE596CF00D68429de0,N
XMR / USD,1%,24h,8,0xFA66458Cce7Dd15D8650015c4fce4D278271618F,N
XRP / USD,1%,24h,8,0xCed2660c6Dd1Ffd856A5A82C67f3482d88C50b12,N
